"Auseix Field","Equix Field","Auseix Value","Equix Value","Expected Type","Type Valid","Match Result"
"customerReferenceNumber","equix_id","EQ-EQ-143-310-147-R","EQ-EQ-659-833-748-R","string","✅","❌"
"applicant.entityType","account_type","INDIVIDUAL","INDIVIDUAL","string","✅","✅"
"applicant.person.title","applicant_details[0].title","MRS","MR","string","✅","❌"
"applicant.person.firstName","applicant_details[0].first_name","Van Anh","Nicole","string","✅","❌"
"applicant.person.middleName","applicant_details[0].middle_name",,"Athena","[""string"",null]","✅","❌"
"applicant.person.lastName","applicant_details[0].last_name","Test","Land","string","✅","❌"
"applicant.person.residentialAddress","N/A","{""streetAddress"":""Unit 115 Melawondi Road "",""city"":""MELAWONDI"",""region"":{""code"":""QLD""},""postalCode"":""4570"",""country"":{""code"":""AU""}}","👀","object","✅","❌"
"applicant.person.residentialAddress.streetAddress","applicant_details[0].residential_address_address_line_1, applicant_details[0].residential_address_address_line_2","Unit 115 Melawondi Road ","35 Scalby Street","string","✅","❌"
"applicant.person.residentialAddress.city","applicant_details[0].residential_address_city_suburb","MELAWONDI","SCARBOROUGH","string","✅","❌"
"applicant.person.residentialAddress.region","N/A","{""code"":""QLD""}","👀","object","✅","❌"
"applicant.person.residentialAddress.region.code","applicant_details[0].residential_address_state","QLD","WA","string","✅","❌"
"applicant.person.residentialAddress.postalCode","applicant_details[0].residential_address_postcode","4570","6019","string","✅","❌"
"applicant.person.residentialAddress.country","N/A","{""code"":""AU""}","👀","object","✅","❌"
"applicant.person.residentialAddress.country.code","applicant_details[0].residential_address_country","AU","AUSTRALIA","string","✅","❌"
"applicant.person.postalAddress","N/A","{""streetAddress"":""Unit 115 Melawondi Road "",""city"":""MELAWONDI"",""region"":{""code"":""QLD""},""postalCode"":""4570"",""country"":{""code"":""AU""}}","👀","object","✅","❌"
"applicant.person.postalAddress.streetAddress","applicant_details[0].postal_address_address_line_1, applicant_details[0].postal_address_address_line_2","Unit 115 Melawondi Road ","35 Scalby Street","string","✅","❌"
"applicant.person.postalAddress.city","applicant_details[0].postal_address_city_suburb","MELAWONDI","SCARBOROUGH","string","✅","❌"
"applicant.person.postalAddress.region","N/A","{""code"":""QLD""}","👀","object","✅","❌"
"applicant.person.postalAddress.region.code","applicant_details[0].postal_address_state","QLD","WA","string","✅","❌"
"applicant.person.postalAddress.postalCode","applicant_details[0].postal_address_postcode","4570","6019","string","✅","❌"
"applicant.person.postalAddress.country","N/A","{""code"":""AU""}","👀","object","✅","❌"
"applicant.person.postalAddress.country.code","applicant_details[0].postal_address_country","AU","AUSTRALIA","string","✅","❌"
"applicant.person.emailAddresses","N/A","[{""type"":""work"",""value"":""test837452@gmail.com"",""isPreferred"":true}]","👀","array","✅","❌"
"applicant.person.emailAddresses[0].type","N/A","work","👀","string","✅","✅"
"applicant.person.emailAddresses[0].value","applicant_details[0].applicant_email","test837452@gmail.com","nicole@novus-fintech.com","string","✅","❌"
"applicant.person.emailAddresses[0].isPreferred","N/A",true,"👀","boolean","✅","✅"
"applicant.person.phoneNumbers","N/A","[{""type"":""mobile"",""value"":""61412345678"",""isPreferred"":true}]","👀","array","✅","❌"
"applicant.person.phoneNumbers[0].type","N/A","mobile","👀","string","✅","✅"
"applicant.person.phoneNumbers[0].value","applicant_details[0].applicant_mobile_phone","61412345678","au|0434217565","string","✅","❌"
"applicant.person.phoneNumbers.isPreferred","N/A",true,"👀","boolean","✅","✅"
"applicant.person.dateOfBirth","applicant_details[0].dob","1997-05-08","11/11/1999","string","✅","❌"
"applicant.person.gender","applicant_details[0].gender","female","FEMALE","string","✅","❌"
"applicant.person.nationalities","N/A","[{""country"":""AU"",""type"":""citizen""}]","👀","array","✅","❌"
"applicant.person.nationalities[0].country","applicant_details[0].nationality","AU","AUSTRALIA","string","✅","❌"
"applicant.person.nationalities[0].type","N/A","citizen","👀","string","✅","✅"
"applicant.employment","N/A","{""type"":""Chief Executives, General Managers and Legislators"",""category"":""Administrative and Support Services""}","👀","object","✅","❌"
"applicant.employment.type","applicant_details[0].occupation_type","Chief Executives, General Managers and Legislators","Business Owner","string","✅","❌"
"applicant.employment.category","applicant_details[0].occupation_category","Administrative and Support Services","Accommodation and Food Services","string","✅","❌"
"applicant.taxDetails","N/A","[{""country"":""AU"",""isSupplied"":false,""nonSupplyReasonCode"":""000000000""}]","👀","array","✅","❌"
"applicant.taxDetails.country","N/A","AU","👀","string","✅","✅"
"applicant.taxDetails.isSupplied","N/A",false,"👀","boolean","✅","✅"
"applicant.taxDetails.taxIdentificationNumber","N/A",,"👀","[""string"",null]","✅","✅"
"applicant.taxDetails.nonSupplyReasonCode","N/A","000000000","👀","string","✅","✅"
"applicant.identityVerification","N/A","{""status"":""verified"",""completionTimestamp"":""2025-02-13T06:34:17.402Z""}","👀","object","✅","❌"
"applicant.identityVerification.status","N/A","verified","👀","string","✅","✅"
"applicant.identityVerification.completionTimestamp","applicant_details[0].uploaded_documents[0].last_updated","2025-02-13T06:34:17.402Z","1739809673590","string","✅","❌"
"applicant.identityVerification.agentName","N/A",,"👀","[""string"",null]","✅","✅"
"applicant.screeningResults","N/A","{""status"":""verified"",""completionTimestamp"":""2025-02-13T06:34:17.402Z""}","👀","object","✅","❌"
"applicant.screeningResults.status","N/A","verified","👀","string","✅","✅"
"applicant.screeningResults.completionTimestamp","applicant_details[0].uploaded_documents[0].last_updated","2025-02-13T06:34:17.402Z","1739809673590","string","✅","❌"
"applicant.screeningResults.agentName","N/A",,"👀","[""string"",null]","✅","✅"
"tradingProduct","N/A","{""type"":""domestic-equities"",""canTradeWarrants"":true,""contractNote"":{""type"":""digital"",""generationType"":""day""}}","👀","object","✅","❌"
"tradingProduct.type","N/A","domestic-equities","👀","string","✅","✅"
"tradingProduct.canTradeWarrants","N/A",true,"👀","boolean","✅","✅"
"tradingProduct.contractNote","N/A","{""type"":""digital"",""generationType"":""day""}","👀","object","✅","❌"
"tradingProduct.contractNote.type","N/A","digital","👀","string","✅","✅"
"tradingProduct.contractNote.generationType","N/A","day","👀","string","✅","✅"
"settlement","N/A","{""details"":[{""accountName"":""Van Anh Test"",""branchCode"":""182512"",""accountNumber"":""000123456789"",""usedForCredits"":true,""usedForDebits"":true,""usedForDividends"":true,""type"":""direct-entry""}],""nettingPolicy"":""net"",""holdFunds"":false,""redirectDividends"":false}","👀","object","✅","❌"
"settlement.details","N/A","[{""accountName"":""Van Anh Test"",""branchCode"":""182512"",""accountNumber"":""000123456789"",""usedForCredits"":true,""usedForDebits"":true,""usedForDividends"":true,""type"":""direct-entry""}]","👀","array","✅","❌"
"settlement.details[0].accountName","bank_account_name","Van Anh Test","Nicole Athena Land","string","✅","❌"
"settlement.details[0].branchCode","bank_bsb","182512","182-512","string","✅","❌"
"settlement.details[0].accountNumber","bank_account_number","000123456789","000123456789","string","✅","✅"
"settlement.details[0].usedForCredits","N/A",true,"👀","boolean","✅","✅"
"settlement.details[0].usedForDebits","N/A",true,"👀","boolean","✅","✅"
"settlement.details[0].usedForDividends","N/A",true,"👀","boolean","✅","✅"
"settlement.details[0].type","N/A","direct-entry","👀","string","✅","✅"
"settlement.nettingPolicy","N/A","net","👀","string","✅","✅"
"settlement.holdFunds","N/A",false,"👀","[""boolean"",null]","✅","❌"
"settlement.redirectDividends","N/A",false,"👀","[""boolean"",null]","✅","❌"
"adviser","N/A",,"👀","[""object"",null]","✅","✅"
"adviser.code","advisor_code",,"MOR","[""string"",null]","✅","❌"
"adviser.brokerageCode","N/A",,"👀","[""string"",null]","✅","✅"
"termsAndConditions","N/A","{""accepted"":true,""methodOfAcceptance"":""digital"",""timestamp"":""2025-02-13T06:32:52.288Z""}","👀","object","✅","❌"
"termsAndConditions.accepted","N/A",true,"👀","boolean","✅","✅"
"termsAndConditions.methodOfAcceptance","N/A","digital","👀","string","✅","✅"
"termsAndConditions.timestamp","submit_time","2025-02-13T06:32:52.288Z","1739809673528","string","✅","❌"
"holdingDetails","N/A",,"👀","[""object"",null]","✅","✅"
"holdingDetails.hin","settlement_existing_hin",,233333,"[""string"",null]","✅","❌"
"holdingDetails.pid","settlement_pid",,"01027","[""string"",null]","✅","❌"
"holdingDetails.address","N/A",,"👀","[""object"",null]","✅","✅"
"holdingDetails.address.addressLines","holdingDetails_addressLines",,"[""MR Nicole Athena Land,"",""35 Scalby Street"",""SCARBOROUGH WA""]","[""array, null""]","✅","❌"
"holdingDetails.address.postCode","applicant_details[0].residential_address_postcode",,"6019","[""string"",null]","✅","❌"
"holdingDetails.emailAddress","applicant_details[0].applicant_email",,"nicole@novus-fintech.com","[""string"",null]","✅","❌"
